key;query;HTTP_HOST;REQUEST_TIME
2644_795de5d4d401c3aa2acb33479ced6f9a;SELECT `id_entity` FROM `dnt_vendors` WHEREname_url = 'skeleton';skeleton.localhost;1538599445
5339_097a24c57520d933a5fb3f3b7a516b42;SELECT `layout` FROM `dnt_vendors` WHEREid = '1';skeleton.localhost;1538599445
4451_14c711dc8422de10de72817fff5c62d1;SELECT * FROM `dnt_posts` WHERE `dnt_posts`.`type` = 'sitemap' AND `dnt_posts`.`show` > '0' AND `dnt_posts`.`service` = 'partners'AND `dnt_posts`.`vendor_id` = '1'GROUP BY `dnt_posts`.`name_url`;skeleton.localhost;1538599445
4832_d0c392c8fc686ab64e8ff4c911b1d019;SELECT * FROM `dnt_posts` WHERE `dnt_posts`.`type` = 'sitemap' AND `dnt_posts`.`show` > '0' AND `dnt_posts`.`service` = 'contact'AND `dnt_posts`.`vendor_id` = '1'GROUP BY `dnt_posts`.`name_url`;skeleton.localhost;1538599445
1882_ec5fa293cf5e1c77d61a3ddca454c7fa;SELECT * FROM `dnt_posts` WHERE `dnt_posts`.`type` = 'sitemap' AND `dnt_posts`.`show` > '0' AND `dnt_posts`.`service` = 'eshop'AND `dnt_posts`.`vendor_id` = '1'GROUP BY `dnt_posts`.`name_url`;skeleton.localhost;1538599445
4567_dd62564f9f277898f3c6bb6999857f24;SELECT * FROM `dnt_posts` WHERE `dnt_posts`.`type` = 'sitemap' AND `dnt_posts`.`show` > '0' AND `dnt_posts`.`service` = 'wp_hotely'AND `dnt_posts`.`vendor_id` = '1'GROUP BY `dnt_posts`.`name_url`;skeleton.localhost;1538599445
3238_504d85f8bca90b69d3aa4a85cfd2eeac;SELECT * FROM `dnt_posts` WHERE `dnt_posts`.`type` = 'sitemap' AND `dnt_posts`.`show` > '0' AND `dnt_posts`.`service` = 'article_list'AND `dnt_posts`.`vendor_id` = '1'GROUP BY `dnt_posts`.`name_url`;skeleton.localhost;1538599445
7462_3d79ce9f18c2cba0a59040c2b2dbab6e;SELECT * FROM `dnt_posts` WHERE `dnt_posts`.`type` = 'sitemap' AND `dnt_posts`.`show` > '0' AND `dnt_posts`.`service` = 'homepage'AND `dnt_posts`.`vendor_id` = '1'GROUP BY `dnt_posts`.`name_url`;skeleton.localhost;1538599445
3224_0926f186c3cd413267433448c9343a11;SELECT * FROM `dnt_posts` WHERE `dnt_posts`.`type` = 'sitemap' AND `dnt_posts`.`show` > '0' AND `dnt_posts`.`service` = 'polls'AND `dnt_posts`.`vendor_id` = '1'GROUP BY `dnt_posts`.`name_url`;skeleton.localhost;1538599445
8254_874953bef30958affed99f0587e104ee;SELECT * FROM `dnt_posts` WHERE `dnt_posts`.`type` = 'sitemap' AND `dnt_posts`.`show` > '0' AND `dnt_posts`.`service` = ''AND `dnt_posts`.`vendor_id` = '1'GROUP BY `dnt_posts`.`name_url`;skeleton.localhost;1538599445
